client_id,intake_number,program,intake_date,exit_date,completed_program,employment_outcome,first_nations,language_other_than_english,referral_source,shelter_partner,support_worker_id,consent_data_sharing,pwi_life_overall_baseline,pwi_life_overall_3mo,pwi_life_overall_6mo,pwi_standard_of_living_baseline,pwi_standard_of_living_3mo,pwi_standard_of_living_6mo,pwi_health_baseline,pwi_health_3mo,pwi_health_6mo,pwi_achieving_in_life_baseline,pwi_achieving_in_life_3mo,pwi_achieving_in_life_6mo,pwi_personal_relationships_baseline,pwi_personal_relationships_3mo,pwi_personal_relationships_6mo,pwi_safety_baseline,pwi_safety_3mo,pwi_safety_6mo,pwi_community_baseline,pwi_community_3mo,pwi_community_6mo,pwi_future_security_baseline,pwi_future_security_3mo,pwi_future_security_6mo,financial_worry_baseline,financial_worry_3mo,financial_worry_6mo,self_confidence_baseline,self_confidence_3mo,self_confidence_6mo,voice_agency_baseline,voice_agency_3mo,voice_agency_6mo,work_readiness_baseline,work_readiness_3mo,work_readiness_6mo,career_confidence_baseline,career_confidence_3mo,career_confidence_6mo,skills_awareness_baseline,skills_awareness_3mo,skills_awareness_6mo,hours_worked,wages_paid,meals_donated,good_things_donated
TG-001,23,WWE,2024-07-01,2025-01-01,TRUE,Employment_Darlo,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-01,TRUE,2,7,8,4,7,8,1,7,8,1,8,9,2,8,9,2,8,8,4,8,9,1,6,8,1,3,3,2,4,4,3,4,4,2,5,5,480,14400,312,28
TG-002,23,WWE,2024-07-01,2025-01-01,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Jarrah_House,SW-01,TRUE,3,6,8,3,7,8,3,5,8,2,6,9,2,6,9,3,7,8,2,6,9,2,6,8,1,2,3,1,3,4,1,3,4,1,3,5,2,5,7,2,5,6,510,15300,290,24
TG-003,23,WWE,2024-07-01,2025-01-01,TRUE,Employment_Elsewhere,FALSE,FALSE,Community_Referral,Jarrah_House,SW-02,TRUE,1,8,8,1,8,7,1,7,7,1,9,8,1,9,10,1,9,4,1,7,10,1,8,10,1,3,4,1,5,4,1,4,4,1,4,5,3,5,10,3,5,10,495,14850,305,26
TG-004,23,WWE,2024-07-01,2025-01-01,TRUE,Employment_Elsewhere,FALSE,FALSE,Shelter_Referral,Newtown_Neighbourhood,SW-02,TRUE,3,7,8,4,8,7,2,6,4,4,8,8,2,8,8,4,9,9,1,7,8,3,8,7,1,3,1,1,2,3,2,4,4,2,3,4,2,3,4,3,6,9,6,8,8,520,15600,318,30
TG-005,23,WWE,2024-07-01,2025-01-01,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Jarrah_House,SW-01,TRUE,1,8,9,2,7,10,2,8,9,1,7,10,1,9,10,1,1,10,1,7,8,1,6,9,1,3,3,1,3,5,1,3,4,1,3,5,5,8,8,5,9,9,530,15900,325,29
TG-006,23,WWE,2024-07-01,2025-01-01,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Jarrah_House,SW-02,TRUE,5,7,8,5,7,9,4,7,8,3,7,8,3,7,8,3,8,8,2,8,8,2,9,9,2,4,5,1,3,4,2,4,4,3,3,5,4,7,9,5,7,10,500,15000,308,27
TG-007,23,WWE,2024-07-01,,FALSE,,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-01,TRUE,4,5,,3,6,,5,5,,4,6,,2,5,,6,7,,3,5,,2,4,,2,3,,2,3,,3,4,,2,4,,4,6,,4,6,210,,128,11
TG-008,23,WWE,2024-07-01,,FALSE,,FALSE,FALSE,Community_Referral,Newtown_Neighbourhood,SW-03,TRUE,5,6,,4,6,,6,7,,5,6,,4,7,,5,8,,5,7,,3,6,,2,3,,3,3,,3,4,,2,3,,5,7,,5,7,195,,119,10
TG-009,24,WWE,2025-01-06,2025-07-06,TRUE,Employment_Darlo,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-03,TRUE,4,7,9,2,5,8,3,6,7,2,7,9,5,6,8,2,5,7,3,5,9,2,5,9,1,2,3,1,2,3,2,4,5,2,4,4,3,7,9,7,7,9,465,13950,285,25
TG-010,24,WWE,2025-01-06,2025-07-06,TRUE,Employment_Elsewhere,FALSE,TRUE,Community_Referral,Newtown_Neighbourhood,SW-03,TRUE,5,6,6,5,6,6,3,4,4,2,7,8,4,3,5,4,6,6,3,6,6,2,5,5,1,1,3,1,3,4,3,4,4,1,4,5,6,5,8,6,5,8,445,13350,272,22
TG-011,24,WWE,2025-01-06,,FALSE,,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-02,TRUE,2,6,,2,7,,3,6,,2,7,,3,6,,3,9,,2,5,,2,6,,1,2,,1,2,,2,4,,1,2,,3,5,5,5,5,6,310,,190,16
TG-012,24,WWE,2025-01-06,2025-07-06,TRUE,Employment_Elsewhere,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-01,TRUE,5,7,8,5,9,10,4,9,9,4,9,9,6,9,9,10,7,10,9,8,10,3,7,9,2,3,4,2,5,5,4,5,5,2,5,5,10,9,10,9,10,10,540,16200,330,31
TG-013,24,WWE,2025-01-06,2025-07-06,TRUE,Employment_Darlo,TRUE,FALSE,Shelter_Referral,Jarrah_House,SW-04,TRUE,1,6,10,3,8,10,5,5,8,1,8,10,6,8,9,1,9,10,1,7,10,1,7,10,1,3,4,2,1,5,1,2,5,1,3,5,4,6,10,5,6,10,525,15750,322,29
TG-014,24,WWE,2025-01-06,2025-07-06,TRUE,Employment_Elsewhere,FALSE,FALSE,Community_Referral,Newtown_Neighbourhood,SW-02,TRUE,6,7,8,6,8,9,5,7,9,6,8,10,5,8,9,5,8,9,4,8,9,4,8,9,1,3,3,2,4,4,2,4,4,2,4,5,3,8,9,5,8,9,470,14100,288,25
TG-015,24,WWE,2025-01-06,2025-07-06,TRUE,Employment_Elsewhere,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-03,TRUE,1,7,9,3,8,8,2,7,9,3,8,8,2,7,7,1,9,10,1,5,5,2,8,9,1,3,2,2,4,4,2,3,3,2,3,4,3,7,10,3,8,9,485,14550,298,27
TG-016,24,WWE,2025-01-06,2025-07-06,TRUE,Employment_Elsewhere,FALSE,TRUE,Shelter_Referral,Jarrah_House,SW-01,TRUE,2,6,8,3,6,8,6,7,8,6,8,10,6,8,9,1,8,9,1,7,10,1,6,9,2,3,4,2,5,5,4,5,5,2,3,5,5,8,10,5,8,10,515,15450,315,28
TG-017,25,WWE,2025-07-07,2026-01-07,TRUE,Employment_Elsewhere,FALSE,FALSE,Shelter_Referral,Jarrah_House,SW-04,TRUE,2,4,9,2,8,9,7,4,2,3,8,8,4,5,10,1,8,9,9,7,7,1,5,6,1,2,3,4,4,5,3,5,5,5,5,5,6,8,9,6,8,9,475,14250,292,26
